state,city,signal_type,signal_text,label
Maharashtra,Nashik,Transport,A transport operator has announced new routes from Nashik. according to local reports.,0
Karnataka,Udupi,Corporate,A corporate advisory company has increased its presence in Udupi. as part of its operational expansion.,0
Maharashtra,Chhatrapati Sambhajinagar,Senior Living,A retirement housing development has received approval in Chhatrapati Sambhajinagar. as part of a planned expansion.,1
Karnataka,Hassan,Industrial,A manufacturing complex is planned on the outskirts of Hassan. as part of regional infrastructure development.,1
Goa,Ponda,Corporate,A professional services firm has opened a new office in Ponda.,0
Maharashtra,Chhatrapati Sambhajinagar,Corporate,A corporate advisory company has increased its presence in Chhatrapati Sambhajinagar. following the latest business update.,0
Maharashtra,Nashik,Healthcare,A new multi-specialty hospital campus is being developed in Nashik. following a new project announcement.,1
Maharashtra,Nashik,Logistics,A large warehousing and distribution centre is proposed near Nashik.,1
Maharashtra,Nagpur,Small Business,A small clothing shop has opened in Nagpur. as part of its business expansion.,0
Maharashtra,Alibaug,Residential,Planning authorities have approved a 400-unit housing project near Alibaug. as part of a major private investment.,1
Goa,Ponda,Finance,A banking company has announced expansion of its branch network in Ponda. following a corporate announcement.,0
Karnataka,Coorg,Institutional,A training and residential facility is proposed near Coorg. following the acquisition of land.,1
Maharashtra,Lonavala,Healthcare,A hospital expansion project will add new patient accommodation and treatment facilities in Lonavala. as part of a major private investment.,1
Maharashtra,Pune,Healthcare,A new healthcare campus is expected to serve thousands of patients in the Pune region.,1
Karnataka,Hubballi,Retail,A consumer electronics company has opened a showroom in Hubballi.,0
Karnataka,Udupi,Hospitality,Construction approval has been granted for a large tourism resort in Udupi. as part of a planned expansion.,1
Karnataka,Tumakuru,Commercial,A major commercial township has received development approval in Tumakuru.,1
Goa,Candolim,Entertainment,A streaming company has announced an event in Candolim.,0
Maharashtra,Thane,Tourism,A tourism infrastructure expansion is planned in the Thane region.,1
Maharashtra,Navi Mumbai,Senior Living,A retirement community with healthcare and accommodation facilities is proposed in Navi Mumbai. following an investment proposal.,1
Maharashtra,Nashik,Tourism,A major tourism investment has been announced near Nashik. after receiving development permission.,1
Goa,Vasco da Gama,Employment,A consulting company has announced recruitment in Vasco da Gama.,0
Karnataka,Tumakuru,Employment,A financial company has announced recruitment in Tumakuru.,0
Karnataka,Manipal,Tourism,A tourism infrastructure expansion is planned in the Manipal region. as part of a planned expansion.,1
Goa,Margao,Retail,A lifestyle brand has opened its latest outlet in Margao.,0
Goa,Morjim,Tourism,A major tourism infrastructure project is proposed near Morjim. following regulatory approval.,1
Maharashtra,Alibaug,Employment,A retail company plans to recruit staff in Alibaug. according to the company announcement.,0
Goa,Morjim,Retail,A lifestyle brand has opened its latest outlet in Morjim.,0
Karnataka,Tumakuru,Retail,A consumer electronics company has opened a showroom in Tumakuru. following a recent launch.,0
Karnataka,Udupi,Retail,A clothing company has announced a new retail location in Udupi. according to local reports.,0
Goa,Vasco da Gama,Corporate,A management consulting company has announced expansion in Vasco da Gama. following a corporate announcement.,0
Goa,Margao,Institutional,A training and residential facility is proposed near Margao.,1
Goa,Baga,Industrial,A major industrial company has announced a new production facility near Baga.,1
Maharashtra,Alibaug,Events,A technology conference will attract visitors to Alibaug. according to the company announcement.,0
Karnataka,Bengaluru,Institutional,A government-supported campus project has received approval in Bengaluru.,1
Maharashtra,Pune,Senior Living,A new senior living community with residential facilities is planned near Pune.,1
Karnataka,Bengaluru,Entertainment,A gaming centre has opened in Bengaluru. as part of its regional growth strategy.,0
Karnataka,Hassan,Residential,A developer has acquired land for a large residential township in Hassan.,1
Goa,Baga,Employment,A startup is hiring employees for its Baga office. according to the company announcement.,0
Karnataka,Tumakuru,Tourism,A new destination tourism complex is being planned in Tumakuru.,1
Karnataka,Mangaluru,Industrial,A new production facility is expected to begin construction in the Mangaluru region. following regulatory approval.,1
Maharashtra,Pune,Logistics,A logistics company has acquired land for a new distribution hub near Pune. following a new project announcement.,1
Maharashtra,Mumbai,Education,A new university campus with student accommodation is planned near Mumbai. as part of regional infrastructure development.,1
Karnataka,Manipal,Entertainment,A gaming centre has opened in Manipal. as part of its operational expansion.,0
Goa,Anjuna,Logistics,A freight and warehousing facility has received development approval near Anjuna.,1
Karnataka,Hassan,Technology,An IT company announced plans to increase its workforce in Hassan. as part of its market expansion.,0
Goa,Mapusa,Transport,A railway service has announced schedule changes affecting Mapusa. as part of its regional growth strategy.,0
Karnataka,Mangaluru,Small Business,A neighbourhood pharmacy has opened a new branch in Mangaluru. following a corporate announcement.,0
Maharashtra,Kolhapur,Small Business,A small clothing shop has opened in Kolhapur. following the latest business update.,0
Maharashtra,Nashik,Institutional,A government-supported campus project has received approval in Nashik.,1
Maharashtra,Mumbai,Hospitality,A hospitality developer is planning a new property with guest accommodation and recreational facilities near Mumbai. following the acquisition of land.,1
Maharashtra,Chhatrapati Sambhajinagar,Healthcare,A hospital expansion project will add new patient accommodation and treatment facilities in Chhatrapati Sambhajinagar. as part of regional infrastructure development.,1
Maharashtra,Thane,Hospitality,A beach resort project with 300 guest rooms is proposed in Thane. following the acquisition of land.,1
Karnataka,Manipal,Small Business,A small clothing shop has opened in Manipal.,0
Karnataka,Hubballi,Entertainment,An entertainment company has launched a new venue in Hubballi. as part of its regional growth strategy.,0
Goa,Margao,Tourism,A new eco-tourism development is being evaluated near Margao. after planning authority approval.,1
Karnataka,Tumakuru,Finance,A banking company has announced expansion of its branch network in Tumakuru. as part of its business expansion.,0
